RANKING,titulo,ANIO,puntaje,genero,Cantidad de votos,direccion,duracion,GANANCIAS EN DOLARES
3085,Where Eagles Dare,1968,7.7,"Acción, Aventura, Guerra",45996,Brian G. Hutton,158,NA
3086,Head-On,2004,8,"Drama, Romántica",45993,Fatih Akin,121,NA
3087,The Battle of Algiers,1966,8.1,"Drama, Guerra",45991,Gillo Pontecorvo,121,60000
3088,Airlift,2016,8.1,"Drama, Histórico",45980,Raja Menon,130,NA
3089,Coneheads,1993,5.3,"Comedia, Ciencia Ficción",45974,Steve Barron,88,21270000
3090,Everybody Wants Some!!,2016,7,Comedia,45969,Richard Linklater,117,3370000
3091,The East,2013,6.8,"Aventura, Drama, Suspenso",45965,Zal Batmanglij,116,2270000
3092,Arbitrage,2012,6.6,"Drama, Suspenso",45944,Nicholas Jarecki,107,7920000
3093,Pale Rider,1985,7.3,Oeste,45943,Clint Eastwood,115,41410000
3094,2046,2004,7.5,"Drama, Romántica, Ciencia Ficción",45911,Kar-Wai Wong,129,260000
3095,The Cobbler,2014,5.8,"Comedia, Drama, Fantasía",45902,Tom McCarthy,99,NA
3096,"Crna macka, beli macor",1998,8.1,"Comedia, Crimen, Romántica",45880,Emir Kusturica,127,350000
3097,Bound,1996,7.4,"Crimen, Romántica, Suspenso",45808,Lana Wachowski,109,3800000
3098,Hera Pheri,2000,8.2,"Acción, Comedia, Crimen",45806,Priyadarshan,156,NA
3099,15 Minutes,2001,6.1,"Acción, Crimen, Drama",45780,John Herzfeld,120,24400000
3100,2010,1984,6.8,"Aventura, Misterio, Ciencia Ficción",45751,Peter Hyams,116,40200000
3101,Veronica Mars,2014,6.8,"Crimen, Drama, Misterio",45715,Rob Thomas,107,3320000
3102,A Bridge Too Far,1977,7.4,"Drama, Histórico, Guerra",45708,Richard Attenborough,175,50800000
3103,The Three Musketeers,1993,6.4,"Acción, Aventura, Comedia",45690,Stephen Herek,105,53900000
3104,BlacKkKlansman,2018,7.7,"Biografía, Comedia, Crimen",45660,Spike Lee,135,48270000
3105,Logan's Run,1976,6.8,"Acción, Ciencia Ficción",45604,Michael Anderson,119,25000000
3106,Dinosaur,2000,6.5,"Animación, Aventura, Familiar",45600,Eric Leighton,82,137750000
3107,The Brothers Bloom,2008,6.8,"Aventura, Comedia, Drama",45599,Rian Johnson,114,3520000
3108,Good Time,2017,7.3,"Crimen, Drama, Suspenso",45583,Benny Safdie,101,2009999.9999999998
3109,U Turn,1997,6.8,"Crimen, Drama, Suspenso",45569,Oliver Stone,125,6630000
3110,Boiler Room,2000,7,"Crimen, Drama, Suspenso",45536,Ben Younger,120,16940000
3111,Pee-wee's Big Adventure,1985,7,"Aventura, Comedia, Familiar",45531,Tim Burton,91,40900000
3112,Executive Decision,1996,6.4,"Acción, Aventura, Suspenso",45507,Stuart Baird,133,56570000
3113,You Again,2010,5.8,"Comedia, Familiar, Romántica",45487,Andy Fickman,105,25700000
3114,The Golden Child,1986,5.9,"Acción, Aventura, Comedia",45477,Michael Ritchie,94,79820000
3115,Courage Under Fire,1996,6.6,"Acción, Drama, Misterio",45449,Edward Zwick,116,59030000
3116,Police Academy 2: Their First Assignment,1985,5.7,Comedia,45444,Jerry Paris,87,55600000
3117,Menace II Society,1993,7.5,"Crimen, Drama, Suspenso",45421,Albert Hughes,97,27900000
3118,The 51st State,2001,6.3,"Acción, Comedia, Crimen",45421,Ronny Yu,93,5200000
3119,Rent,2005,7,"Drama, Musical, Romántica",45394,Chris Columbus,135,29080000
3120,The 39 Steps,1935,7.8,"Misterio, Suspenso",45388,Alfred Hitchcock,86,NA
3121,I Spy,2002,5.4,"Acción, Aventura, Comedia",45368,Betty Thomas,97,33560000
